komentar,komentar_bersih,setelah_preprocesing,setelah_normalisasi,setelah_normalisasi1
"bapak dan ibu dewan yang katanya mewakili rakyat, sangat banyak sekali rakyat yg cuma bisa bermimpi untuk bisa memakai pakaian yg seperti anda pakai,",bapak dan ibu dewan yang katanya mewakili rakyat sangat banyak sekali rakyat yg cuma bisa bermimpi untuk bisa memakai pakaian yg seperti anda pakai,dewan mewakili rakyat rakyat yg bermimpi memakai pakaian yg pakai,dewan wakil rakyat rakyat yg mimpi pakai pakai yg pakai,dewan wakil rakyat rakyat mimpi pakai pakai pakai
"saya cuma fokus ke pak mekeng yg menyuruh efisiensi di kementrian, tapi menikmati jorjoran dana di dewan🤔",saya cuma fokus ke pak mekeng yg menyuruh efisiensi di kementrian tapi menikmati jorjoran dana di dewan🤔,fokus mekeng yg menyuruh efisiensi kementrian menikmati jorjoran dana dewan🤔,fokus mekeng yg suruh efisiensi tri nikmat jorjoran dana dewan,fokus mekeng suruh efisiensi tri nikmat jorjoran dana dewan
senyum  senyum senangnya mau mendapatkan uang bagi bagi korupsi,senyum senyum senangnya mau mendapatkan uang bagi bagi korupsi,senyum senyum senangnya uang korupsi,senyum senyum senang uang korupsi,senyum senyum senang uang korupsi
kenapa ngga jadi bubar dpr ini,kenapa ngga jadi bubar dpr ini,ngga bubar dpr,ngga bubar dpr,ngga bubar dpr
emang bener. dpr harus di hapuskan.yg mampu hanya rakyat indonesia baru dpr bisa tumbang. mari kita jadi rakyat harus kawal negara kita tercinta.,emang bener dpr harus di hapuskanyg mampu hanya rakyat indonesia baru dpr bisa tumbang mari kita jadi rakyat harus kawal negara kita tercinta,emang bener dpr hapuskanyg rakyat indonesia dpr tumbang mari rakyat kawal negara tercinta,emang bener dpr hapuskanyg rakyat indonesia dpr tumbang mari rakyat kawal negara cinta,emang bener dpr hapuskanyg rakyat indonesia dpr tumbang mari rakyat kawal negara cinta
you yg kemampuan korup,you yg kemampuan korup,you yg kemampuan korup,you yg mampu korup,you korup
dpr kasih 150 rb aja / bln,dpr kasih 150 rb aja bln,dpr kasih 150 rb aja bln,dpr kasih 150 rb aja bln,dpr kasih 150 rb bln
mengenai pendidikan masak dpr g tahu uang pendidikan di kuropsi sama menteri pendidikan,mengenai pendidikan masak dpr g tahu uang pendidikan di kuropsi sama menteri pendidikan,pendidikan masak dpr g uang pendidikan kuropsi menteri pendidikan,didik masak dpr g uang didik kuropsi menteri didik,didik masak dpr uang didik kuropsi menteri didik
"dpr konoha ini muna, memojokan minta di sawer😂😂😂
ngomong ini ngomong itu, fokusnya apa yang segera harus dilaksanakan.
selama transparansi anggaran tidak di ketahui masyarakat, jangan harap ada peningkatan pertumbuhan.
semua anggota konoha itu doyan duit😂😂😂",dpr konoha ini muna memojokan minta di sawer ngomong ini ngomong itu fokusnya apa yang segera harus dilaksanakan selama transparansi anggaran tidak di ketahui masyarakat jangan harap ada peningkatan pertumbuhan semua anggota konoha itu doyan duit,dpr konoha muna memojokan sawer ngomong ngomong fokusnya dilaksanakan transparansi anggaran ketahui masyarakat harap peningkatan pertumbuhan anggota konoha doyan duit,dpr konoha muna pojok sawer ngomong ngomong fokus laksana transparansi anggar tahu masyarakat harap tingkat tumbuh anggota konoha doyan duit,dpr konoha muna pojok sawer ngomong ngomong fokus laksana transparansi anggar masyarakat harap tingkat tumbuh anggota konoha doyan duit
semoga dpr dan menkeu lebih banyak diskusi mendorong gimana menciptakan jutaan lapangan kerja buat rakyatnya yang butuh pekerjaan dan mendorong keras bisa acktion.,semoga dpr dan menkeu lebih banyak diskusi mendorong gimana menciptakan jutaan lapangan kerja buat rakyatnya yang butuh pekerjaan dan mendorong keras bisa acktion,semoga dpr menkeu diskusi mendorong gimana menciptakan jutaan lapangan kerja rakyatnya butuh pekerjaan mendorong keras acktion,moga dpr menkeu diskusi dorong gimana cipta juta lapang kerja rakyat butuh kerja dorong keras acktion,moga dpr menkeu diskusi dorong gimana cipta juta lapang kerja rakyat butuh kerja dorong keras acktion
dasar dpr bisa nya korupsi 😅😂😂,dasar dpr bisa nya korupsi,dasar dpr nya korupsi,dasar dpr nya korupsi,dasar dpr korupsi
"untuk menghilangkan 800 kurangai utang,dan jangan korup ,dpr mengajukan anggaran untuk di korupsi berjamaah",untuk menghilangkan 800 kurangai utangdan jangan korup dpr mengajukan anggaran untuk di korupsi berjamaah,menghilangkan 800 kurangai utangdan korup dpr mengajukan anggaran korupsi berjamaah,hilang 800 rangai utangdan korup dpr aju anggar korupsi jamaah,hilang 800 rangai utangdan korup dpr aju anggar korupsi jamaah
"walaupun pendidikan s1 tapi susah mencari pejerjaan,banyak yang nganggur",walaupun pendidikan s1 tapi susah mencari pejerjaanbanyak yang nganggur,pendidikan s1 susah mencari pejerjaanbanyak nganggur,didik s1 susah cari pejerjaanbanyak nganggur,didik s1 susah cari pejerjaanbanyak nganggur
alah berisik lu depeer,alah berisik lu depeer,alah berisik lu depeer,alah berisik lu depeer,alah berisik lu depeer
"woy, elu tuh dpr yg hrs efisiensi. udh kaga percaya nih publik sma lu pada yg katanya perwakilan rakyat, rakyat mana yg lu wakili?",woy elu tuh dpr yg hrs efisiensi udh kaga percaya nih publik sma lu pada yg katanya perwakilan rakyat rakyat mana yg lu wakili,woy elu tuh dpr yg hrs efisiensi udh kaga percaya nih publik sma lu yg perwakilan rakyat rakyat yg lu wakili,woy elu tuh dpr yg hrs efisiensi udh kaga percaya nih publik sma lu yg wakil rakyat rakyat yg lu wakil,woy elu tuh dpr hrs efisiensi kaga percaya nih publik sma lu wakil rakyat rakyat lu wakil
siapa yg bikin utang kita tidak produktif?,siapa yg bikin utang kita tidak produktif,yg bikin utang produktif,yg bikin utang produktif,bikin utang produktif
"bukan kepingin kenalan pak tapi kepingin nego, semoga pak prabowo dan seluruh masyarakat indonesia lebih hati hati dengan para tikus ini karna komisi 11 ini adalah keterwakilan dari semua komisi tentang masalah jatah, omongan mereka terbalut kelicikan ujung ujungnya duit",bukan kepingin kenalan pak tapi kepingin nego semoga pak prabowo dan seluruh masyarakat indonesia lebih hati hati dengan para tikus ini karna komisi 11 ini adalah keterwakilan dari semua komisi tentang masalah jatah omongan mereka terbalut kelicikan ujung ujungnya duit,kepingin kenalan kepingin nego semoga prabowo masyarakat indonesia hati hati tikus karna komisi 11 keterwakilan komisi jatah omongan terbalut kelicikan ujung ujungnya duit,kepingin kenal kepingin nego moga prabowo masyarakat indonesia hati hati tikus karna komisi 11 wakil komisi jatah omong balut kelici ujung ujung duit,kepingin kenal kepingin nego moga prabowo masyarakat indonesia hati hati tikus karna komisi 11 wakil komisi jatah omong balut kelici ujung ujung duit
pinter ngomong semua nih di depan media seolah dukung rakyat miskin di angkat. tp nggk mmbrikan ide.,pinter ngomong semua nih di depan media seolah dukung rakyat miskin di angkat tp nggk mmbrikan ide,pinter ngomong nih media dukung rakyat miskin angkat tp nggk mmbrikan ide,pinter ngomong nih media dukung rakyat miskin angkat tp nggk mmbrikan ide,pinter ngomong nih media dukung rakyat miskin angkat nggk mmbrikan ide
saya yakin anggota parlemen yg duduk di dpr ni byk yg terlibat korupsi sehingga apapun kebijakan baru utk rakyat dan negara selalu di hambat oleh mereka.,saya yakin anggota parlemen yg duduk di dpr ni byk yg terlibat korupsi sehingga apapun kebijakan baru utk rakyat dan negara selalu di hambat oleh mereka,anggota parlemen yg duduk dpr ni byk yg terlibat korupsi apapun kebijakan utk rakyat negara hambat,anggota parlemen yg duduk dpr ni byk yg libat korupsi apa bijak utk rakyat negara hambat,anggota parlemen duduk dpr ni byk libat korupsi bijak utk rakyat negara hambat
anggota parlemen di dpr hafus segera di audit di evaluasi karena byk anggota dpr kemampua nya di bawah rata rata.,anggota parlemen di dpr hafus segera di audit di evaluasi karena byk anggota dpr kemampua nya di bawah rata rata,anggota parlemen dpr hafus audit evaluasi byk anggota dpr kemampua nya,anggota parlemen dpr hafus audit evaluasi byk anggota dpr kemampua nya,anggota parlemen dpr hafus audit evaluasi byk anggota dpr kemampua
"sampah banget tau..chuaaksssss, lama ngoceh nggsk berisi 😢",sampah banget tauchuaaksssss lama ngoceh nggsk berisi,sampah banget tauchuaaksssss ngoceh nggsk berisi,sampah banget tauchuaaksssss ngoceh nggsk isi,sampah banget tauchuaaksssss ngoceh nggsk isi
dpr ga korupsi tapi dpr sebagai jalan bebas hambatan buat para mafia di tanah air,dpr ga korupsi tapi dpr sebagai jalan bebas hambatan buat para mafia di tanah air,dpr ga korupsi dpr jalan bebas hambatan mafia tanah air,dpr ga korupsi dpr jalan bebas hambat mafia tanah air,dpr korupsi dpr jalan bebas hambat mafia tanah air
pemimpin rapatnya aura korupsi dan aura mesumnya kuat banget,pemimpin rapatnya aura korupsi dan aura mesumnya kuat banget,pemimpin rapatnya aura korupsi aura mesumnya kuat banget,pimpin rapat aura korupsi aura mesum kuat banget,pimpin rapat aura korupsi aura mesum kuat banget
ini anggota dpr yang kmrn kabur ke aussie kn?,ini anggota dpr yang kmrn kabur ke aussie kn,anggota dpr kmrn kabur aussie kn,anggota dpr kmrn kabur aussie kn,anggota dpr kmrn kabur aussie kn
"knp cm di kementrian aja yg minta di evaluasi, sedangkan tunjangan dpr gak di evaluasi. bru jg menjabat udh tdk percaya. 
ternyata gini ya kualitas dpr kita",knp cm di kementrian aja yg minta di evaluasi sedangkan tunjangan dpr gak di evaluasi bru jg menjabat udh tdk percaya ternyata gini ya kualitas dpr kita,knp cm kementrian aja yg evaluasi tunjangan dpr gak evaluasi bru jg menjabat udh tdk percaya gini ya kualitas dpr,knp cm tri aja yg evaluasi tunjang dpr gak evaluasi bru jg jabat udh tdk percaya gin ya kualitas dpr,knp cm tri evaluasi tunjang dpr gak evaluasi bru jg jabat percaya gin ya kualitas dpr
"dpr klo urusan cari muka sama mojokin orang agar mereka terlihat bener, udh paling paling dah jagonya. 


muka dua semua itu isinya.",dpr klo urusan cari muka sama mojokin orang agar mereka terlihat bener udh paling paling dah jagonya muka dua semua itu isinya,dpr klo urusan cari muka mojokin orang bener udh dah jagonya muka isinya,dpr klo urus cari muka mojokin orang bener udh dah jago muka isi,dpr klo urus cari muka mojokin orang bener dah jago muka isi
transparan aja  apbn  indonesia yg masuk sama yg kluar nya bapak tiap bulan,transparan aja apbn indonesia yg masuk sama yg kluar nya bapak tiap bulan,transparan aja apbn indonesia yg masuk yg kluar nya,transparan aja apbn indonesia yg masuk yg kluar nya,transparan apbn indonesia masuk kluar
nanti kita liat ke depan siapa lagi  yang korupsi uang yang merugikan negara thn  2026,nanti kita liat ke depan siapa lagi yang korupsi uang yang merugikan negara thn 2026,liat korupsi uang merugikan negara thn 2026,liat korupsi uang rugi negara thn 2026,liat korupsi uang rugi negara thn 2026
lebih ragu dgn dpr😂,lebih ragu dgn dpr,ragu dgn dpr,ragu dgn dpr,ragu dpr
"kemiskinan karena uangx bx yg di korupsi pak
bx pengangguran krna tinggix permintaan pemrintah kepada pihak prusahaan contohx pt gudang garam yg pada akhirx bx yg di phk.",kemiskinan karena uangx bx yg di korupsi pak bx pengangguran krna tinggix permintaan pemrintah kepada pihak prusahaan contohx pt gudang garam yg pada akhirx bx yg di phk,kemiskinan uangx bx yg korupsi bx pengangguran krna tinggix permintaan pemrintah prusahaan contohx pt gudang garam yg akhirx bx yg phk,miskin uangx bx yg korupsi bx anggur krna tinggix minta pemrintah prusahaan contohx pt gudang garam yg akhirx bx yg phk,miskin uangx bx korupsi bx anggur krna tinggix pemrintah prusahaan contohx pt gudang garam akhirx bx phk
klo hanya pertanya 2yng di ajukan kpn jawabnya  harusnya setiap pertanya an dpt harus langsung dijawab ole menkeu  oni kan hanya perta ya an meluluberjam2tentunta menkeu keberatan mengingat pertanya an yng sekian bnyak harusnya 1oertanya anlangsungkasi kesempatan menjawab  dlu baru pertanya an berikutnya sehingga mudabagi menkeu menjawabnya menkeu bukan malaikat harus mengingatdebnya itu pertanya an dpr  mohondprbs paham cb byangkan klo dpr diberi pertanya an  segitu bnyk gk langsung jawab  mampukan sykira itu dpr yuga manusia biasa yng terbatas dlm memori dlm otaknya  klo molekak baru sy percaya,klo hanya pertanya 2yng di ajukan kpn jawabnya harusnya setiap pertanya an dpt harus langsung dijawab ole menkeu oni kan hanya perta ya an meluluberjam2tentunta menkeu keberatan mengingat pertanya an yng sekian bnyak harusnya 1oertanya anlangsungkasi kesempatan menjawab dlu baru pertanya an berikutnya sehingga mudabagi menkeu menjawabnya menkeu bukan malaikat harus mengingatdebnya itu pertanya an dpr mohondprbs paham cb byangkan klo dpr diberi pertanya an segitu bnyk gk langsung jawab mampukan sykira itu dpr yuga manusia biasa yng terbatas dlm memori dlm otaknya klo molekak baru sy percaya,klo pertanya 2yng ajukan kpn pertanya an dpt langsung ole menkeu oni perta ya an meluluberjam2tentunta menkeu keberatan pertanya an yng sekian bnyak 1oertanya anlangsungkasi kesempatan dlu pertanya an mudabagi menkeu menjawabnya menkeu malaikat mengingatdebnya pertanya an dpr mohondprbs paham cb byangkan klo dpr pertanya an segitu bnyk gk langsung mampukan sykira dpr yuga manusia yng terbatas dlm memori dlm otaknya klo molekak sy percaya,klo tanya 2yng aju kpn tanya an dpt langsung ole menkeu oni perta ya an meluluberjam2tentunta menkeu berat tanya an yng sekian bnyak 1oertanya anlangsungkasi sempat dlu tanya an mudabagi menkeu jawab menkeu malaikat mengingatdebnya tanya an dpr mohondprbs paham cb byangkan klo dpr tanya an segitu bnyk gk langsung mampu sykira dpr yuga manusia yng batas dlm memori dlm otak klo molekak sy percaya,klo 2yng aju kpn an dpt langsung ole menkeu oni perta ya an meluluberjam2tentunta menkeu berat an yng sekian bnyak 1oertanya anlangsungkasi dlu an mudabagi menkeu menkeu malaikat mengingatdebnya an dpr mohondprbs paham cb byangkan klo dpr an segitu bnyk langsung sykira dpr yuga manusia yng batas dlm memori dlm otak klo molekak percaya
dpr kesanya menggurui mwnkeu,dpr kesanya menggurui mwnkeu,dpr kesanya menggurui mwnkeu,dpr kesanya guru mwnkeu,dpr kesanya guru mwnkeu
"menurut sy di dpr ini banyak orang yang pintar berbicara dan berpikir kritis, dan memang orang2 ini dipertahankan agar dpr tercitrakan baik. mereka adalah orang2 yang sudah berkiprah lama di dpr, jd memang sudah tau mau bicara apa, tetapi mereka ini mgkn adalah kunci parpol terlihat menjadi baik. padahal mgkn parpol menyetir mereka, menyabotase beberapa hal, dll. semoga anggota dpr dapat menjalankan fungsinya dengan baik, gak hanya tampak luar saja yg baik.",menurut sy di dpr ini banyak orang yang pintar berbicara dan berpikir kritis dan memang orang2 ini dipertahankan agar dpr tercitrakan baik mereka adalah orang2 yang sudah berkiprah lama di dpr jd memang sudah tau mau bicara apa tetapi mereka ini mgkn adalah kunci parpol terlihat menjadi baik padahal mgkn parpol menyetir mereka menyabotase beberapa hal dll semoga anggota dpr dapat menjalankan fungsinya dengan baik gak hanya tampak luar saja yg baik,sy dpr orang pintar berbicara berpikir kritis orang2 dipertahankan dpr tercitrakan orang2 berkiprah dpr jd tau bicara mgkn kunci parpol mgkn parpol menyetir menyabotase dll semoga anggota dpr menjalankan fungsinya gak yg,sy dpr orang pintar bicara pikir kritis orang2 tahan dpr citra orang2 kiprah dpr jd tau bicara mgkn kunci parpol mgkn parpol setir sabotase dll moga anggota dpr jalan fungsi gak yg,dpr orang pintar bicara pikir kritis orang2 tahan dpr citra orang2 kiprah dpr jd tau bicara mgkn kunci parpol mgkn parpol setir sabotase dll moga anggota dpr jalan fungsi gak
"sini turun ke bawah jadi petani. 
baru kalian tahu. betapa indahnya jadi manusia yang tidak jadi beban apbn.
kita hidup karena alloh. 
buktinya kita gak pernah punya hutang ke bank. 
lah kalian. piye.",sini turun ke bawah jadi petani baru kalian tahu betapa indahnya jadi manusia yang tidak jadi beban apbn kita hidup karena alloh buktinya kita gak pernah punya hutang ke bank lah kalian piye,turun petani betapa indahnya manusia beban apbn hidup alloh buktinya gak hutang bank piye,turun tani betapa indah manusia beban apbn hidup alloh bukti gak hutang bank piye,turun tani betapa indah manusia beban apbn hidup alloh bukti gak hutang bank piye
efesiensi anggaran dpr lebih efektif.,efesiensi anggaran dpr lebih efektif,efesiensi anggaran dpr efektif,efesiensi anggar dpr efektif,efesiensi anggar dpr efektif
"audit semua pak dari dpr sampai ke bawah sampai ke kepala desa.
saya yakin tikus2 nya banyak",audit semua pak dari dpr sampai ke bawah sampai ke kepala desa saya yakin tikus2 nya banyak,audit dpr kepala desa tikus2 nya,audit dpr kepala desa tikus2 nya,audit dpr kepala desa tikus2
saring omongan anggota dewan mana yang omongan yang mewakili rakyat kecil😢,saring omongan anggota dewan mana yang omongan yang mewakili rakyat kecil,saring omongan anggota dewan omongan mewakili rakyat,saring omong anggota dewan omong wakil rakyat,saring omong anggota dewan omong wakil rakyat
