komentar,komentar_bersih,setelah_preprocesing
"total nominal korupsi yg terjadi :
1. korupsi pertamina : 968,5 t
2. korupsi pt timah : 300 t
3. korupsi blbi : 147,7 t
4. korupsi pt duta palma : 78t
5. korupsi pt tppi : 37,8 t
6. korupsi asabri : 22,7 t
7. korupsi jiwa sraya : 16,8 t
8. korupsi cpo : 12 t

belum yg lainnya",total nominal korupsi yg terjadi 1 korupsi pertamina 9685 t 2 korupsi pt timah 300 t 3 korupsi blbi 1477 t 4 korupsi pt duta palma 78t 5 korupsi pt tppi 378 t 6 korupsi asabri 227 t 7 korupsi jiwa sraya 168 t 8 korupsi cpo 12 t belum yg lainnya,total nominal korupsi yg 1 korupsi pertamina 9685 t 2 korupsi pt timah 300 t 3 korupsi blbi 1477 t 4 korupsi pt duta palma 78t 5 korupsi pt tppi 378 t 6 korupsi asabri 227 t 7 korupsi jiwa sraya 168 t 8 korupsi cpo 12 t yg
"sdh ada peluru penyelesaian masalah, kok ya ga di realisasikan",sdh ada peluru penyelesaian masalah kok ya ga di realisasikan,sdh peluru penyelesaian ya ga realisasikan
"ide untuk export bahan setengah jadi atau barang jadi sangat akan bisa mendongkrak ekonomi indonesia,

nah , kok ga direalisai kan??? apa benar karena larangan dari luar negeri untuk menjual bahan setengah jadi atau barang jadi?? atau kah ada mafia export import ???",ide untuk export bahan setengah jadi atau barang jadi sangat akan bisa mendongkrak ekonomi indonesia nah kok ga direalisai kan apa benar karena larangan dari luar negeri untuk menjual bahan setengah jadi atau barang jadi atau kah ada mafia export import,ide export bahan barang mendongkrak ekonomi indonesia ga direalisai larangan negeri menjual bahan barang kah mafia export import
kemampuan makan uang rakyat,kemampuan makan uang rakyat,kemampuan makan uang rakyat
mnurut saya ini yg dimaksud elit politik jago ngomong doang tapi justru mreka beban negara,mnurut saya ini yg dimaksud elit politik jago ngomong doang tapi justru mreka beban negara,mnurut yg elit politik jago ngomong doang mreka beban negara
efisiensi bukan hanya di kementerian pak tp di dpr juga,efisiensi bukan hanya di kementerian pak tp di dpr juga,efisiensi kementerian tp dpr
seharusnya jangan nyecer aja bapak dpr. ini masalah banyak. seharusnya tugas dpr apa ini? setau saya orang awam ini tugas dpr itu mengawasi anggaran yang dipakai tepat sasaran apa tidak dilapangan. berrti selama ini kalo masih ada masalah la ke mana aja dpr selama ini. 😢,seharusnya jangan nyecer aja bapak dpr ini masalah banyak seharusnya tugas dpr apa ini setau saya orang awam ini tugas dpr itu mengawasi anggaran yang dipakai tepat sasaran apa tidak dilapangan berrti selama ini kalo masih ada masalah la ke mana aja dpr selama ini,nyecer aja dpr tugas dpr setau orang awam tugas dpr mengawasi anggaran dipakai sasaran dilapangan berrti kalo la aja dpr
seharusnya jangan nyecer aja bapak dpr. ini masalah banyak. seharusnya tugas dpr apa ini? setau saya orang awam ini tugas dpr itu mengawasi anggaran yang dipakai tepat sasaran apa tidak dilapangan. berrti selama ini kalo masih ada masalah la ke mana aja dpr selama ini. 😢,seharusnya jangan nyecer aja bapak dpr ini masalah banyak seharusnya tugas dpr apa ini setau saya orang awam ini tugas dpr itu mengawasi anggaran yang dipakai tepat sasaran apa tidak dilapangan berrti selama ini kalo masih ada masalah la ke mana aja dpr selama ini,nyecer aja dpr tugas dpr setau orang awam tugas dpr mengawasi anggaran dipakai sasaran dilapangan berrti kalo la aja dpr
kemaren2  bpk dpr komisi 11 ini ngapain aja wktu srimulyani mentri ke uangnya kok baru skrang triak2.,kemaren2 bpk dpr komisi 11 ini ngapain aja wktu srimulyani mentri ke uangnya kok baru skrang triak2,kemaren2 bpk dpr komisi 11 ngapain aja wktu srimulyani mentri uangnya skrang triak2
pernyataan dpr  pda mentri ke uangan yg baru ini knyol.,pernyataan dpr pda mentri ke uangan yg baru ini knyol,pernyataan dpr pda mentri uangan yg knyol
dpr dpr dpr habis kata2 ngomongin dpr🥴,dpr dpr dpr habis kata2 ngomongin dpr🥴,dpr dpr dpr habis kata2 ngomongin dpr🥴
anggaran dprd harus rakyat tau,anggaran dprd harus rakyat tau,anggaran dprd rakyat tau
dpr bisanya ngomong kritik tp gak ada kerja nyatanya,dpr bisanya ngomong kritik tp gak ada kerja nyatanya,dpr bisanya ngomong kritik tp gak kerja
ruu perampasan aset kepada pelaku koruptor adalah strategi out of the box yang harus dilakukan dpr,ruu perampasan aset kepada pelaku koruptor adalah strategi out of the box yang harus dilakukan dpr,ruu perampasan aset pelaku koruptor strategi out of the box dpr
dpr kerja = ada ketakutan dibaliknya😂,dpr kerja ada ketakutan dibaliknya,dpr kerja ketakutan dibaliknya
"uang untuk bayar 20 ribu lebih gaji anggota dpr ratusan m tiap bulan (ngacalah ""efisiensi""), belum yang lainnya, bisa jadi triliunan tiap bulan",uang untuk bayar 20 ribu lebih gaji anggota dpr ratusan m tiap bulan ngacalah efisiensi belum yang lainnya bisa jadi triliunan tiap bulan,uang bayar 20 ribu gaji anggota dpr ratusan m ngacalah efisiensi triliunan
"kawal pak pur terus, dukung pak pur",kawal pak pur terus dukung pak pur,kawal pur dukung pur
"yg disini pada galak ke koruptor di dpr, pada galak juga gak ya ke kepala desa/lurah di daerahnya? apa karena temen jadi korupsinya dilindungi? payah",yg disini pada galak ke koruptor di dpr pada galak juga gak ya ke kepala desalurah di daerahnya apa karena temen jadi korupsinya dilindungi payah,yg galak koruptor dpr galak gak ya kepala desalurah daerahnya temen korupsinya dilindungi payah
dpr hanya pinter ngomong karena pada dasarnya mereka dituntut untuk memperbesar partai yang mengusung mereka😂,dpr hanya pinter ngomong karena pada dasarnya mereka dituntut untuk memperbesar partai yang mengusung mereka,dpr pinter ngomong dasarnya dituntut memperbesar partai mengusung
"mau tanya misbakun, lomba maraton di aussi sdh  beres? kedua biayanya pribadi atau dari rakyat?",mau tanya misbakun lomba maraton di aussi sdh beres kedua biayanya pribadi atau dari rakyat,misbakun lomba maraton aussi sdh beres biayanya pribadi rakyat
1:27:53 kyknya ada lobang yg bocor dari anggota komisi xi 😂kyknya ada yng korup😂,12753 kyknya ada lobang yg bocor dari anggota komisi xi kyknya ada yng korup,12753 kyknya lobang yg bocor anggota komisi xi kyknya yng korup
mantap pak menteri,mantap pak menteri,mantap menteri
pak botak yang pakek kacamata 17:48 kyknya jgo ngomong efisien. cba anggota komisi xi di pangkas anggarannya bisa gk. atau dpr di pangkas anggarannya mau gk tuh. 😂😂 semua bilang amanat tpi kalian amant gk kerjanya?,pak botak yang pakek kacamata 1748 kyknya jgo ngomong efisien cba anggota komisi xi di pangkas anggarannya bisa gk atau dpr di pangkas anggarannya mau gk tuh semua bilang amanat tpi kalian amant gk kerjanya,botak pakek kacamata 1748 kyknya jgo ngomong efisien cba anggota komisi xi pangkas anggarannya gk dpr pangkas anggarannya gk tuh bilang amanat tpi amant gk kerjanya
"ternyata se greget ini ya mau bela rakyat depan wakil rakyat. wkwk
aneh nya si wakil rakyat malah mempersulit setiap hal yg berkaitan dengan kebaikan rakyat.
wakil rakyat macam apa itu",ternyata se greget ini ya mau bela rakyat depan wakil rakyat wkwk aneh nya si wakil rakyat malah mempersulit setiap hal yg berkaitan dengan kebaikan rakyat wakil rakyat macam apa itu,greget ya bela rakyat wakil rakyat wkwk aneh nya si wakil rakyat mempersulit yg berkaitan kebaikan rakyat wakil rakyat
"dpr berpihak
baru 2 hari dicecar habis
2 periode kemarin adem ayem
padahal 2 periode yg lalu menentukan ekonomi sekarang",dpr berpihak baru 2 hari dicecar habis 2 periode kemarin adem ayem padahal 2 periode yg lalu menentukan ekonomi sekarang,dpr berpihak 2 dicecar habis 2 periode kemarin adem ayem 2 periode yg menentukan ekonomi
makan nya dpr jangan banyak korupsi gimana mau bayar hutang banyak tikus kaya kalian,makan nya dpr jangan banyak korupsi gimana mau bayar hutang banyak tikus kaya kalian,makan nya dpr korupsi gimana bayar hutang tikus kaya
dpr emang beban negara harus di berantas itu orang nya pada gak mikir rakyat sebenarnya keliatan cuma pro partai mereka sendiri”😢,dpr emang beban negara harus di berantas itu orang nya pada gak mikir rakyat sebenarnya keliatan cuma pro partai mereka sendiri”,dpr emang beban negara berantas orang nya gak mikir rakyat keliatan pro partai sendiri”
"dpr ini hanya politicking melulu, nggak pernah mau kerja yang serius untuk rakyat !!!",dpr ini hanya politicking melulu nggak pernah mau kerja yang serius untuk rakyat,dpr politicking melulu nggak kerja serius rakyat
dpr dprd ko pd lemot yh ngomong yh 😂gua liat liat selama ini ga bnr bnr krja,dpr dprd ko pd lemot yh ngomong yh gua liat liat selama ini ga bnr bnr krja,dpr dprd ko pd lemot yh ngomong yh gua liat liat ga bnr bnr krja
kebiasan waktu krja badok makanan mulu ini aparat indonesia,kebiasan waktu krja badok makanan mulu ini aparat indonesia,kebiasan krja badok makanan mulu aparat indonesia
sok peduli u dpr🖕🏻pas di demo ga ada perhatiannya sama skali,sok peduli u dprpas di demo ga ada perhatiannya sama skali,sok peduli u dprpas demo ga perhatiannya skali
"kalo mengenai pendidikan, solusinya simpel sebenarnya angkat aja dulu guru honorer yang udah lama mengabdi +5 tahun, +10 tahun, +15 tahun dst jadi asn agar ada kesan bahwa berkarir di dunia pendidikan ada kepastian akan kesejahteraan. mau bikin strategi sebagus apapun tapi kalo nggak ada yg mau jadi ujung tombak itu useless namanya, mau dianggarkan ratusan triliun pun tapi tujuannya bukan untuk men-sejahterakan tenaga pendidik dan digunakan untuk support perkembangan sekolah dan hanya fokus ke project yang menguntungkan pihak tertentu nggak akan efektif malah yang ada hanya dipake untuk kepentingan politik atau klaim2 dari pihak2 tertentu.",kalo mengenai pendidikan solusinya simpel sebenarnya angkat aja dulu guru honorer yang udah lama mengabdi 5 tahun 10 tahun 15 tahun dst jadi asn agar ada kesan bahwa berkarir di dunia pendidikan ada kepastian akan kesejahteraan mau bikin strategi sebagus apapun tapi kalo nggak ada yg mau jadi ujung tombak itu useless namanya mau dianggarkan ratusan triliun pun tapi tujuannya bukan untuk mensejahterakan tenaga pendidik dan digunakan untuk support perkembangan sekolah dan hanya fokus ke project yang menguntungkan pihak tertentu nggak akan efektif malah yang ada hanya dipake untuk kepentingan politik atau klaim2 dari pihak2 tertentu,kalo pendidikan solusinya simpel angkat aja guru honorer udah mengabdi 5 10 15 dst asn kesan berkarir dunia pendidikan kepastian kesejahteraan bikin strategi sebagus apapun kalo nggak yg ujung tombak useless namanya dianggarkan ratusan triliun tujuannya mensejahterakan tenaga pendidik support perkembangan sekolah fokus project menguntungkan nggak efektif dipake kepentingan politik klaim2 pihak2
harusnya dpr 3 orang aja biar gak berisik,harusnya dpr 3 orang aja biar gak berisik,dpr 3 orang aja biar gak berisik
"org2 indonesia tuh gaya komunikasinya selalu kayak ngospek ya? menindas, mengejek dan merendahkan. pertanyaan dari mulai 6:00 tuh sy ngeliatnya kyk pertanyaan mengkerdilkan kapabilitas orang lain. kan bisa gitu nanyanya. ""bapak boleh utarakan rencana kedepannya secara detil bagaimana meningkatkan ekonomi jadi 8? "" 

kan bisa gitu. makanya gw benci orang2 yg punya posisi dan jabatan di negara ini tuh karena ini. 

gaya nya masih feodalisme sekali. bukan gaya kolaborasi.


dan banyak basa basi yang basi! menit 7:00 gak usah pake komentar ada ibu ya? saya baru liat.
basi!!

omongannya gak berkelas bapak2 dpr ini",org2 indonesia tuh gaya komunikasinya selalu kayak ngospek ya menindas mengejek dan merendahkan pertanyaan dari mulai 600 tuh sy ngeliatnya kyk pertanyaan mengkerdilkan kapabilitas orang lain kan bisa gitu nanyanya bapak boleh utarakan rencana kedepannya secara detil bagaimana meningkatkan ekonomi jadi 8 kan bisa gitu makanya gw benci orang2 yg punya posisi dan jabatan di negara ini tuh karena ini gaya nya masih feodalisme sekali bukan gaya kolaborasi dan banyak basa basi yang basi menit 700 gak usah pake komentar ada ibu ya saya baru liat basi omongannya gak berkelas bapak2 dpr ini,org2 indonesia tuh gaya komunikasinya kayak ngospek ya menindas mengejek merendahkan 600 tuh sy ngeliatnya kyk mengkerdilkan kapabilitas orang gitu nanyanya utarakan rencana kedepannya detil meningkatkan ekonomi 8 gitu gw benci orang2 yg posisi jabatan negara tuh gaya nya feodalisme gaya kolaborasi basa basi basi menit 700 gak pake komentar ya liat basi omongannya gak berkelas bapak2 dpr
dpr juga harus efisiensi,dpr juga harus efisiensi,dpr efisiensi
kenapa gak langsung ke teknis sih rapatnya,kenapa gak langsung ke teknis sih rapatnya,gak langsung teknis sih rapatnya
"anggota dpr cuma omon omon,tujuan mereka adalah gaji takehome paynya 500 juta per bulan",anggota dpr cuma omon omontujuan mereka adalah gaji takehome paynya 500 juta per bulan,anggota dpr omon omontujuan gaji takehome paynya 500 juta
siapa yg berani anggota dpr tunjangan nya dan gajih nya di kasih buat rakyat miskin,siapa yg berani anggota dpr tunjangan nya dan gajih nya di kasih buat rakyat miskin,yg berani anggota dpr tunjangan nya gajih nya kasih rakyat miskin
buat bantu rakyat miskin jangan cuma dari apbn aja atuh bapa dpr yg terhormat pake tunjangan kalian untuk bantu org rakyat miskin pasti selesai jangan cuma terlihat memperjuangkan rakyat tapi bukti nya pelit sama rakyat cuma ingin memperkaya diri sendiri jadi menurut saya dpr hanya omon omon 😂😂😂di cek aja berapa angota dpr yang bantu rakyat miskin pake uang pribadi😂😂😂😂,buat bantu rakyat miskin jangan cuma dari apbn aja atuh bapa dpr yg terhormat pake tunjangan kalian untuk bantu org rakyat miskin pasti selesai jangan cuma terlihat memperjuangkan rakyat tapi bukti nya pelit sama rakyat cuma ingin memperkaya diri sendiri jadi menurut saya dpr hanya omon omon di cek aja berapa angota dpr yang bantu rakyat miskin pake uang pribadi,bantu rakyat miskin apbn aja atuh bapa dpr yg terhormat pake tunjangan bantu org rakyat miskin selesai memperjuangkan rakyat bukti nya pelit rakyat memperkaya dpr omon omon cek aja angota dpr bantu rakyat miskin pake uang pribadi
"dpr sprtinya agak gusar dg mentri yg baru ini 😂, lanjutkan pak menkeu",dpr sprtinya agak gusar dg mentri yg baru ini lanjutkan pak menkeu,dpr sprtinya gusar dg mentri yg lanjutkan menkeu
"baru kerja dua hari sudah dicecar seolah olah ragu pada kinerja menkeu yang baru.
 padahal jelas sekali bahkan terang terangan dalam rapat paripurna anggota dpr bilang sendiri bahwa kerjanya tergantung ketua partai, yg artinya angota dpr adalah boneka ketua partai.",baru kerja dua hari sudah dicecar seolah olah ragu pada kinerja menkeu yang baru padahal jelas sekali bahkan terang terangan dalam rapat paripurna anggota dpr bilang sendiri bahwa kerjanya tergantung ketua partai yg artinya angota dpr adalah boneka ketua partai,kerja dicecar olah ragu kinerja menkeu terang terangan rapat paripurna anggota dpr bilang kerjanya tergantung ketua partai yg angota dpr boneka ketua partai
itu jilbab ap taplak meja bu baju kuning??,itu jilbab ap taplak meja bu baju kuning,jilbab ap taplak meja bu baju kuning
jago ngoceh aj anggota ini,jago ngoceh aj anggota ini,jago ngoceh aj anggota
"1 jam lebih hanya melihat banyak orang ngomong dan nuntut, ini mah namanya dpp alias dewan perwakilan partai bukan dewan perwakilan rakyat",1 jam lebih hanya melihat banyak orang ngomong dan nuntut ini mah namanya dpp alias dewan perwakilan partai bukan dewan perwakilan rakyat,1 jam orang ngomong nuntut mah namanya dpp alias dewan perwakilan partai dewan perwakilan rakyat
deper so asik😅,deper so asik,deper so asik
minta menkeu gk jadi orang lain mintanya jadi diri sendiri 1:56:18 wkwkwkwkw kalau bapak jadi orang lain apa jadi diri sendiri pak😂,minta menkeu gk jadi orang lain mintanya jadi diri sendiri 15618 wkwkwkwkw kalau bapak jadi orang lain apa jadi diri sendiri pak,menkeu gk orang mintanya 15618 wkwkwkwkw orang
anggota dpr omon2 doang minta di setujui trs anggaran2 ga penting,anggota dpr omon2 doang minta di setujui trs anggaran2 ga penting,anggota dpr omon2 doang setujui trs anggaran2 ga
nontonin tikus debat.,nontonin tikus debat,nontonin tikus debat
"drama pengalihan isu 
uu perampasan aset

dipikir rakyat bisa di kibulin
kerja aja belum udah di interogasi 

lawak2 dpr ini hadehhhhhhhh

malah ngonten kayak kdm

parahh baget ini 
negara rugi ratusan juta cuma buat drama gini hadehhhh",drama pengalihan isu uu perampasan aset dipikir rakyat bisa di kibulin kerja aja belum udah di interogasi lawak2 dpr ini hadehhhhhhhh malah ngonten kayak kdm parahh baget ini negara rugi ratusan juta cuma buat drama gini hadehhhh,drama pengalihan isu uu perampasan aset dipikir rakyat kibulin kerja aja udah interogasi lawak2 dpr hadehhhhhhhh ngonten kayak kdm parahh baget negara rugi ratusan juta drama gini hadehhhh
"kebanyakan partai, jadi terlalu banyak warna. pastinya kebanyakan mau di dpr",kebanyakan partai jadi terlalu banyak warna pastinya kebanyakan mau di dpr,kebanyakan partai warna pastinya kebanyakan dpr
salfok sama primus yang mukanya serius😂😂😂 menyimak atau bingung 😅😅😅,salfok sama primus yang mukanya serius menyimak atau bingung,salfok primus mukanya serius menyimak bingung
